,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er,sie,es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4,Infinitif
2156,zerstückeln,zerstückele,zerstückle,zerstückelst,,zerstückelt,zerstückelte,,zerstückelt,,zerstückelte,,zerstückele,zerstückle,,zerstückelt,,haben,,,,,,,démembrer
2157,verdrücken,verdrücke,,verdrückst,,verdrückt,verdrückte,,verdrückt,,verdrückte,,verdrück,verdrücke,,verdrückt,,haben,,,,,,,écraser
2158,dokumentieren,dokumentiere,,dokumentierst,,dokumentiert,dokumentierte,,dokumentiert,,dokumentierte,,dokumentier,dokumentiere,,dokumentiert,,haben,,,,,,,document
2159,reinwaschen,wasche rein,,wäschst rein,wäscht rein,wäscht rein,wusch rein,,reingewaschen,,wüsche rein,,wasch rein,wasche rein,,wascht rein,,haben,,,,,,,laver proprement
2160,verhängen,verhänge,,verhängst,,verhängt,verhängte,,verhängt,,verhängte,,verhäng,verhänge,,verhängt,,haben,,,,,,,imposer
2161,weglassen,lasse weg,,lässt weg,,lässt weg,ließ weg,,weggelassen,,ließe weg,,lass weg,lasse weg,,lasst weg,,haben,,,,,,,omettre
2162,umkippen,kippe um,,kippst um,,kippt um,kippte um,,umgekippt,,kippte um,,kipp um,kippe um,,kippt um,,sein,haben,,,,,,basculer
2163,beschneiden,beschneide,,beschneidest,,beschneidet,beschnitt,,beschnitten,,beschnitte,,beschneide,,,beschneidet,,haben,,,,,,,garniture
2164,anschalten,schalte an,,schaltest an,,schaltet an,schaltete an,,angeschaltet,,schaltete an,,schalt an,schalte an,,schaltet an,,haben,,,,,,,allumer
2165,tappen,tappe,,tappst,,tappt,tappte,,getappt,,tappte,,tappe,,,tappt,,haben,sein,,,,,,robinet
2166,kreuzigen,kreuzige,,kreuzigst,,kreuzigt,kreuzigte,,gekreuzigt,,kreuzigte,,kreuzig,kreuzige,,kreuzigt,,haben,,,,,,,crucifier
2167,verschrecken,verschrecke,,verschreckst,,verschreckt,verschreckte,,verschreckt,,verschreckte,,verschreck,verschrecke,,verschreckt,,haben,,,,,,,effrayer
2168,funkeln,funkle,funkele,funkelst,,funkelt,funkelte,,gefunkelt,,funkelte,,funkle,funkele,,funkelt,,haben,,,"Eiffel Tower and Front de Seine quarter from Pont Mirabeau, 12 April 2014.jpg|thumb|1|die [[Lichter]] ''funkeln'' in der Stadt","Morgan3wheel.jpg|thumb|1|dieser [[Oldtimer]] ''funkelt'' und [[glänzen|glänzt]], als ob er gerade aus dem [[Laden]] [[kommen|käme]]",Diamond princess cut.jpg|thumb|1|dieser [[Diamant]] ''funkelt'' in [[alle]]n [[Farbe]]n,"New shot of Proxima Centauri, our nearest neighbour.jpg|thumb|1|ein [[Stern]] ''funkelt'' am [[Nachthimmel]]",scintillait
2169,assistieren,assistiere,,assistierst,,assistiert,assistierte,,assistiert,,assistierte,,assistier,assistiere,,assistiert,,haben,,,,,,,assister
2170,gewährleisten,gewährleiste,,gewährleistest,,gewährleistet,gewährleistete,,gewährleistet,,gewährleistete,,gewährleist,gewährleiste,,gewährleistet,,haben,,,,,,,garantie
2171,komponieren,komponiere,,komponierst,,komponiert,komponierte,,komponiert,,komponierte,,komponiere,komponier,,komponiert,,haben,,,,,,,composer
2172,entehren,entehre,,entehrst,,entehrt,entehrte,,entehrt,,entehrte,,entehr,entehre,,entehrtet,,haben,,,,,,,déshonorer
2173,umwandeln,wandle um,,wandelst um,,wandelt um,wandelte um,,umgewandelt,,wandelte um,,wandle um,,,wandelt um,,haben,,,,,,,convertir
2174,nachsitzen,sitze nach,,sitzt nach,,sitzt nach,saß nach,,nachgesessen,,säße nach,,sitz nach,sitze nach,,sitzt nach,,haben,,,,,,,retenue
2175,erträumen,erträume,,erträumst,,erträumt,erträumte,,erträumt,,erträumte,,erträum,erträume,,erträumt,,haben,,,,,,,rêve
2176,diktieren,diktiere,,diktierst,,diktiert,diktierte,,diktiert,,diktierte,,diktiere,diktier,,diktiert,,haben,,,,,,,dicter
2177,zerschneiden,zerschneide,,zerschneidest,,zerschneidet,zerschnitt,,zerschnitten,,zerschnitte,,zerschneide,,,zerschneidet,,haben,,,,,,,couper
2178,abbeißen,beiße ab,,beißt ab,,beißt ab,biss ab,,abgebissen,,bisse ab,,beiß ab,,,beißt ab,,haben,,Tucking In to a Pretzel - Downtown Munich - Germany.jpg|mini|1|von einem [[Brezel]] ''abbeißen'',,,,,mordre
2179,hervorbringen,bringe hervor,,bringst hervor,,bringt hervor,brachte hervor,,hervorgebracht,,brächte hervor,,bring hervor,bringe hervor,,bringt hervor,,haben,,,,,,,produire
2180,vorladen,lade vor,,lädst vor,,lädt vor,lud vor,,vorgeladen,,lüde vor,,lade vor,,,ladet vor,,haben,,,,,,,précharger
2181,impfen,impfe,,impfst,,impft,impfte,,geimpft,,impfte,,impfe,,,impft,,haben,,Giving a vaccination.jpg|thumb|1|jemanden gegen etwas ''impfen'',,,,,vacciner
2182,verduften,verdufte,,verduftest,,verduftet,verduftete,,verduftet,,verduftete,,verduft,verdufte,,verduftet,,sein,,,,,,,évaporer
2183,dekorieren,dekoriere,,dekorierst,,dekoriert,dekorierte,,dekoriert,,dekorierte,,dekorier,dekoriere,,dekoriert,,haben,,,,,,,décorer
2184,herausholen,hole heraus,,holst heraus,,holt heraus,holte heraus,,herausgeholt,,holte heraus,,hol heraus,hole heraus,,holt heraus,,haben,,,,,,,sortir
2185,abschieben,schiebe ab,,schiebst ab,,schiebt ab,schob ab,,abgeschoben,,schöbe ab,,schiebe ab,,,schiebt ab,,haben,,,,,,,expulser
2186,patschen,patsche,,patschst,,patscht,patschte,,gepatscht,,patschte,,patsch,patsche,,patscht,,haben,sein,,,,,,tapoter
2187,verkörpern,verkörpere,,verkörperst,,verkörpert,verkörperte,,verkörpert,,verkörperte,,verkörper,verkörpere,,verkörpert,,haben,,,,,,,incarner
2188,ankämpfen,kämpfe an,,kämpfst an,,kämpft an,kämpfte an,,angekämpft,,kämpfte an,,kämpf an,kämpfe an,,kämpft an,,haben,,,,,,,lutte
2189,schildern,schildere,,schilderst,,schildert,schilderte,,geschildert,,schilderte,,schildere,,,schildert,,haben,,,,,,,décrire
2190,würfeln,würfle,würfele,würfelst,,würfelt,würfelte,,gewürfelt,,würfelte,,würfle,würfele,,würfelt,,haben,,,,,,,lancer les dés
2191,enttarnen,enttarne,,enttarnst,,enttarnt,enttarnte,,enttarnt,,enttarnte,,enttarne,,,enttarnt,,haben,,,,,,,démasquer
2192,postieren,postiere,,postierst,,postiert,postierte,,postiert,,postierte,,postier,postiere,,postiert,,haben,,,,,,,poste
2193,anschaffen,schaffe an,,schaffst an,,schafft an,schaffte an,,angeschafft,,schaffte an,,schaff an,schaffe an,,schafft an,,haben,,,,,,,acquérir
2194,einteilen,teile ein,,teilst ein,,teilt ein,teilte ein,,eingeteilt,,teilte ein,,teil ein,teile ein,,teilt ein,,haben,,,,,,,organiser
2195,austreten,trete aus,,trittst aus,,tritt aus,trat aus,,ausgetreten,,träte aus,,tritt aus,,,tretet aus,,sein,haben,,,,,,sortie
2196,teilhaben,habe teil,,hast teil,,hat teil,hatte teil,,teilgehabt,,hätte teil,,hab teil,habe teil,,habt teil,,haben,,,,,,,participer
2197,blitzen,blitze,,blitzt,,blitzt,blitzte,,geblitzt,,blitzte,,blitze,,,blitzt,,haben,,,,,,,éclair
2198,entreißen,entreiße,,entreißt,,entreißt,entriss,,entrissen,,entrisse,,entreiß,entreiße,,entreißt,,haben,,,,,,,arracher
2199,verschwitzen,verschwitze,,verschwitzt,,verschwitzt,verschwitzte,,verschwitzt,,verschwitzte,,verschwitze,,,verschwitzt,,haben,sein,,,,,,en sueur
2200,revanchieren,revanchiere,,revanchierst,,revanchiert,revanchierte,,revanchiert,,revanchierte,,revanchiere,revanchier,,revanchiert,,haben,,,,,,,user de représailles
2201,trüben,trübe,,trübst,,trübt,trübte,,getrübt,,trübte,,trübe,,,trübt,,haben,,,,,,,ternir
2202,beiwohnen,wohne bei,,wohnst bei,,wohnt bei,wohnte bei,,beigewohnt,,wohnte bei,,wohn bei,wohne bei,,wohnt bei,,haben,,,,,,,assister à
2203,verzeichnen,verzeichne,,verzeichnest,,verzeichnet,verzeichnete,,verzeichnet,,verzeichnete,,verzeichne,,,verzeichnet,,haben,,,,,,,enregistrer
2204,verscheuchen,verscheuche,,verscheuchst,,verscheucht,verscheuchte,,verscheucht,,verscheuchte,,verscheuch,verscheuche,,verscheucht,,haben,,,,,,,effrayer
2205,ängstigen,ängstige,,ängstigst,,ängstigt,ängstigte,,geängstigt,,ängstigte,,ängstige,,,ängstigt,,haben,,,,,,,effrayer
2206,betrüben,betrübe,,betrübst,,betrübt,betrübte,,betrübt,,betrübte,,betrübe,,,betrübt,,haben,,,,,,,attrister
2207,gähnen,gähne,,gähnst,,gähnt,gähnte,,gegähnt,,gähnte,,gähne,,,gähnt,,haben,,,,,,,bâillement
2208,miterleben,erlebe mit,,erlebst mit,,erlebt mit,erlebte mit,,miterlebt,,erlebte mit,,erleb mit,erlebe mit,,erlebt mit,,haben,,,,,,,témoin
2209,wittern,wittere,,witterst,,wittert,witterte,,gewittert,,witterte,,wittere,,,wittert,,haben,,,,,,,odeur
2210,brocken,brocke,,brockst,,brockt,brockte,,gebrockt,,brockte,,brocke,brock,,brockt,,haben,,,,,,,morceaux
2211,drängeln,drängle,drängele,drängelst,,drängelt,drängelte,,gedrängelt,,drängelte,,drängle,drängel,,drängelt,,haben,,,,,,,bousculade
2212,rädern,rädere,,räderst,,rädert,räderte,,gerädert,,räderte,,räder,rädre,,rädert,,haben,,Klassisches Radern.png|mini|1|''Geräderte'',,,,,roues
2213,dehnen,dehne,,dehnst,,dehnt,dehnte,,gedehnt,,dehnte,,dehn,,,dehnt,,haben,,"USMC-120113-M-IY869-003.jpg|thumb|1|[[Frau]]en, die sich in einer [[Übung]] ([[Ballett]]) ''dehnen''",,,,,extensible
2214,krönen,kröne,,krönst,,krönt,krönte,,gekrönt,,krönte,,kröne,krön,,krönt,,haben,,,,,,,couronne
2215,sprühen,sprühe,,sprühst,,sprüht,sprühte,,gesprüht,,sprühte,,sprüh,,,sprüht,,haben,,,Action photo of nasal spray on a black background.jpg|thumb|1|[[Nasenspray]] ''sprühen'',Hairspray dispensed from Aerosol Spray Nozzle.jpg|thumb|1|[[Haarspray]] ''sprühen'',Angle-grinder-sparks 32721-480x360 (4999892463).jpg|thumb|1|[[Funke]]n ''sprühen'',,vaporisateur
2216,sonnen,sonne,,sonnst,,sonnt,sonnte,,gesonnt,,sonnte,,sonn,,,sonnt,,haben,,,,,,,pour prendre le soleil
2217,rauen,raue,,raust,,raut,raute,,geraut,,raute,,raue,,,raut,,haben,,,,,,,rugueux
2218,fokussieren,fokussiere,,fokussierst,,fokussiert,fokussierte,,fokussiert,,fokussierte,,fokussiere,fokussier,,fokussiert,,haben,,,,,,,se concentrer
2219,einfügen,füge ein,,fügst ein,,fügt ein,fügte ein,,eingefügt,,fügte ein,,füg ein,füge ein,,fügt ein,,haben,,,,,,,insérer
2220,anmerken,merke an,,merkst an,,merkt an,merkte an,,angemerkt,,merkte an,,merk an,merke an,,merkt an,,haben,,,,,,,note
2221,voraussehen,sehe voraus,,siehst voraus,,sieht voraus,sah voraus,,vorausgesehen,,sähe voraus,,sieh voraus,siehe voraus,,seht voraus,,haben,,,,,,,prévoir
2222,enthaupten,enthaupte,,enthauptest,,enthauptet,enthauptete,,enthauptet,,enthauptete,,enthaupte,,,enthauptet,,haben,,Diepenbeeck Decapitation of a Saint.jpg|thumb|1|Der [[Henker]] hat die [[Frau]] ''enthauptet'',,,,,décapiter
2223,dämpfen,dämpfe,,dämpfst,,dämpft,dämpfte,,gedämpft,,dämpfte,,dämpf,dämpfe,,dämpft,,haben,,,,,,,humidifier
2224,betätigen,betätige,,betätigst,,betätigt,betätigte,,betätigt,,betätigte,,betätig,betätige,,betätigt,,haben,,,,,,,actionner
2225,großziehen,ziehe groß,,ziehst groß,,zieht groß,zog groß,,großgezogen,,zöge groß,,zieh groß,ziehe groß,,zieht groß,,haben,,,,,,,augmenter
2226,beleben,belebe,,belebst,,belebt,belebte,,belebt,,belebte,,belebe,,,belebt,,haben,,,,,,,revigorer
2227,bannen,banne,,bannst,,bannt,bannte,,gebannt,,bannte,,banne,bann,,bannt,,haben,,,,,,,bannir
2228,schwenken,schwenke,,schwenkst,,schwenkt,schwenkte,,geschwenkt,,schwenkte,,schwenk,schwenke,,schwenkt,,haben,sein,,,,,,se balancer
2229,auspeitschen,peitsche aus,,peitschst aus,,peitscht aus,peitschte aus,,ausgepeitscht,,peitschte aus,,peitsch aus,,,peitscht aus,,haben,,,,,,,fouet
2230,verklemmen,verklemme,,verklemmst,,verklemmt,verklemmte,,verklemmt,,verklemmte,,verklemm,verklemme,,verklemmt,,haben,,,,,,,Confiture
2231,simulieren,simuliere,,simulierst,,simuliert,simulierte,,simuliert,,simulierte,,simuliere,simulier,,simuliert,,haben,,,,,,,simuler
2232,zurückweisen,weise zurück,,weist zurück,,weist zurück,wies zurück,,zurückgewiesen,,wiese zurück,,weise zurück,,,weist zurück,,haben,,,,,,,refuser
2233,ergehen,ergehe,,ergehst,,ergeht,erging,,ergangen,,erginge,,ergeh,ergehe,,ergeht,,haben,sein,,,,,,tarif
2234,ausspucken,spucke aus,,spuckst aus,,spuckt aus,spuckte aus,,ausgespuckt,,spuckte aus,,spucke aus,spuck aus,,spuckt aus,,haben,,,,,,,cracher
2235,anketten,kette an,,kettest an,,kettet an,kettete an,,angekettet,,kettete an,,kett an,kette an,,kettet an,,haben,,,,,,,chaîne
2236,entbehren,entbehre,,entbehrst,entbiehrst,entbehrt,entbehrte,entbahr,entbehrt,entbohren,entbehrte,entbähre,entbehre,entbiehr,,entbehrt,,haben,,,,,,,manquant
2237,eskortieren,eskortiere,,eskortierst,,eskortiert,eskortierte,,eskortiert,,eskortierte,,eskortiere,eskortier,,eskortiert,,haben,,,,,,,escorte
2238,weiterarbeiten,arbeite weiter,,arbeitest weiter,,arbeitet weiter,arbeitete weiter,,weitergearbeitet,,arbeitete weiter,,arbeite weiter,,,arbeitet weiter,,haben,,,,,,,continue de travailler
2239,entspringen,entspringe,,entspringst,,entspringt,entsprang,,entsprungen,,entspränge,,entspringe,entspring,,entspringt,,sein,,,,,,,provenir
2240,schnaufen,schnaufe,,schnaufst,,schnauft,schnaufte,,geschnauft,,schnaufte,,schnaufe,,,schnauft,,haben,,,,,,,haleter
2241,aufschieben,schiebe auf,,schiebst auf,,schiebt auf,schob auf,,aufgeschoben,,schöbe auf,,schieb auf,schiebe auf,,schiebt auf,,haben,,,,,,,repousser
2242,beehren,beehre,,beehrst,,beehrt,beehrte,,beehrt,,beehrte,,beehr,beehre,,beehrt,,haben,,,,,,,honneur
2243,verhauen,verhaue,,verhaust,,verhaut,verhaute,,verhauen,verhaut,verhaute,,verhau,verhaue,,verhaut,,haben,,,,,,,fessée
2244,durchwühlen,durchwühle,,durchwühlst,,durchwühlt,durchwühlte,,durchwühlt,,durchwühlte,,durchwühle,,,durchwühlt,,haben,,,,,,,fouiller
2245,vorrücken,rücke vor,,rückst vor,rückest vor,rückt vor,rückte vor,,vorgerückt,,rückte vor,,rück vor,rücke vor,,rückt vor,rücket vor,sein,,,,,,,avance
2246,verschulden,verschulde,,verschuldest,,verschuldet,verschuldete,,verschuldet,,verschuldete,,verschuld,verschulde,,verschuldet,,haben,,,,,,,faute
2247,runterholen,hole runter,,holst runter,,holt runter,holte runter,,runtergeholt,,holte runter,,hol runter,,,holt runter,,haben,,,,,,,faire tomber
2248,terrorisieren,terrorisiere,,terrorisierst,,terrorisiert,terrorisierte,,terrorisiert,,terrorisierte,,terrorisier,terrorisiere,,terrorisiert,,haben,,,,,,,terroriser
2249,rattern,rattere,,ratterst,,rattert,ratterte,,gerattert,,ratterte,,rattere,ratter,,rattert,,haben,,,,,,,hochet
2250,entmutigen,entmutige,,entmutigst,,entmutigt,entmutigte,,entmutigt,,entmutigte,,entmutig,entmutige,,entmutigt,,haben,,,,,,,décourager
2251,transferieren,transferiere,,transferierst,,transferiert,transferierte,,transferiert,,transferierte,,transferiere,transferier,,transferiert,,haben,,,,,,,transfert
2252,inhaftieren,inhaftiere,,inhaftierst,,inhaftiert,inhaftierte,,inhaftiert,,inhaftierte,,inhaftiere,inhaftier,,inhaftiert,,haben,,,,,,,emprisonner
2253,ekeln,ekle,ekele,ekelst,,ekelt,ekelte,,geekelt,,ekelte,,ekle,ekele,,ekelt,,haben,,,,,,,dégoûter
2254,entgegenkommen,komme entgegen,,kommst entgegen,,kommt entgegen,kam entgegen,,entgegengekommen,,käme entgegen,,komm entgegen,komme entgegen,,kommt entgegen,,sein,,,,,,,accommoder
2255,bezwingen,bezwinge,,bezwingst,,bezwingt,bezwang,,bezwungen,,bezwänge,,bezwinge,,,bezwingt,,haben,,,,,,,conquérir
2256,flicken,flicke,,flickst,,flickt,flickte,,geflickt,,flickte,,flicke,,,flickt,,haben,,,,,,,correctif
2257,hineingehen,gehe hinein,,gehst hinein,,geht hinein,ging hinein,,hineingegangen,,ginge hinein,,geh hinein,gehe hinein,,geht hinein,,sein,,,,,,,va dans
2258,abkratzen,kratze ab,,kratzt ab,,kratzt ab,kratzte ab,,abgekratzt,,kratzte ab,,kratz ab,,,kratzt ab,,haben,sein,,,,,,gratter
2259,schädigen,schädige,,schädigst,,schädigt,schädigte,,geschädigt,,schädigte,,schädige,,,schädigt,,haben,,,,,,,dommage
2260,befürworten,befürworte,,befürwortest,,befürwortet,befürwortete,,befürwortet,,befürwortete,,befürwort,befürworte,,befürwortet,,haben,,,,,,,avocat
2261,herausgeben,gebe heraus,,gibst heraus,,gibt heraus,gab heraus,,herausgegeben,,gäbe heraus,,gib heraus,,,gebt heraus,,haben,,,,,,,problème
2262,bluffen,bluffe,,bluffst,,blufft,bluffte,,geblufft,,bluffte,,bluff,bluffe,,blufft,,haben,,,,,,,bluffer
2263,überrumpeln,überrumple,überrumpele,überrumpelst,,überrumpelt,überrumpelte,,überrumpelt,,überrumpelte,,überrumple,überrumpele,,überrumpelt,,haben,,,,,,,surprendre
2264,untersagen,untersage,,untersagst,,untersagt,untersagte,,untersagt,,untersagte,,untersag,untersage,,untersagt,,haben,,,,,,,interdire
2265,missbrauchen,missbrauche,,missbrauchst,,missbraucht,missbrauchte,,missbraucht,,missbrauchte,,missbrauch,missbrauche,,missbraucht,,haben,,,,,,,abus
2266,erkaufen,erkaufe,,erkaufst,,erkauft,erkaufte,,erkauft,,erkaufte,,erkaufe,,,erkauft,,haben,,,,,,,acheter
2267,vererben,vererbe,,vererbst,,vererbt,vererbte,,vererbt,,vererbte,,vererb,vererbe,,vererbt,,haben,,,,,,,Hériter
2268,abspringen,springe ab,,springst ab,,springt ab,sprang ab,,abgesprungen,,spränge ab,,spring ab,springe ab,,springt ab,,sein,,Jack and Elise jumping off swings.jpg|thumb|1|Ein [[Junge]] ''springt'' von der [[Schaukel]] ''ab.'',,,,,sauter de
2269,verstauen,verstaue,,verstaust,,verstaut,verstaute,,verstaut,,verstaute,,verstau,verstaue,,verstaut,,haben,,,,,,,ranger
2270,abschaffen,schaffe ab,,schaffst ab,,schafft ab,schaffte ab,,abgeschafft,,schaffte ab,,schaffe ab,,,schafft ab,,haben,,,,,,,abolir
2271,vermählen,vermähle,,vermählst,,vermählt,vermählte,,vermählt,,vermählte,,vermähl,vermähle,,vermählt,,haben,,,,,,,marier
2272,entschädigen,entschädige,,entschädigst,,entschädigt,entschädigte,,entschädigt,,entschädigte,,entschädig,entschädige,,entschädigt,,haben,,,,,,,compenser
2273,rumpeln,rumpele,,rumpelst,,rumpelt,rumpelte,,gerumpelt,,rumpelte,,rumpel,rumpele,,rumpelt,,haben,sein,,,,,,gronder
2274,assimilieren,assimiliere,,assimilierst,,assimiliert,assimilierte,,assimiliert,,assimilierte,,assimiliere,assimilier,,assimiliert,,haben,,,,,,,assimiler
2275,zusammenhängen,hänge zusammen,,hängst zusammen,,hängt zusammen,hing zusammen,,zusammengehangen,,hinge zusammen,,häng zusammen,hänge zusammen,,hängt zusammen,,haben,,,,,,,en rapport
2276,einwilligen,willige ein,,willigst ein,,willigt ein,willigte ein,,eingewilligt,,willigte ein,,willige ein,,,willigt ein,,haben,,,,,,,consentement
2277,krabben,krabbe,,krabbst,,krabbt,krabbte,,gekrabbt,,krabbte,,krabb,krabbe,,krabbt,,haben,,,,,,,Crabes
2278,walten,walte,,waltest,,waltet,waltete,,gewaltet,,waltete,,walte,,,waltet,,haben,,,,,,,prévaloir
2279,ritzen,ritze,,ritzt,,ritzt,ritzte,,geritzt,,ritzte,,ritze,ritz,,ritzt,,haben,,,,,,,gratter
2280,verkürzen,verkürze,,verkürzt,,verkürzt,verkürzte,,verkürzt,,verkürzte,,verkürz,verkürze,,verkürzt,,haben,,,,,,,raccourcir
2281,hasten,haste,,hastest,,hastet,hastete,,gehastet,,hastete,,haste,,,hastet,,sein,,,,,,,dépêchez-vous
2282,erschweren,erschwere,,erschwerst,,erschwert,erschwerte,,erschwert,,erschwerte,,erschwer,erschwere,,erschwert,,haben,,,,,,,compliquer
2283,stapeln,staple,stapele,stapelst,,stapelt,stapelte,,gestapelt,,stapelte,,staple,stapele,,stapelt,,haben,,,Containerhåndtering i Orkanger havn (6947051760).jpg|thumb|1|[[Container]] werden von einem [[Fahrzeug]] ''gestapelt.'',Pile of books about Wicca.JPG|thumb|1|[[Buch|Bücher]] kann man ''stapeln.'',,,pile
2284,anzweifeln,zweifle an,zweifele an,zweifelst an,,zweifelt an,zweifelte an,,angezweifelt,,zweifelte an,,zweifle an,zweifele an,,zweifelt an,,haben,,,,,,,doute
2285,einstufen,stufe ein,,stufst ein,,stuft ein,stufte ein,,eingestuft,,stufte ein,,stufe ein,,,stuft ein,,haben,,,,,,,classer
2286,beherbergen,beherberge,,beherbergst,,beherbergt,beherbergte,,beherbergt,,beherbergte,,beherberg,,,beherbergt,,haben,,,,,,,accommoder
2287,überführen,überführe,,überführst,,überführt,überführte,,überführt,,überführte,,überführ,überführe,,überführt,,haben,,,,,,,transfert
2288,fackeln,fackele,,fackelst,,fackelt,fackelte,,gefackelt,,fackelte,,fackel,fackele,,fackelt,,haben,,,,,,,torche
2289,vertiefen,vertiefe,,vertiefst,,vertieft,vertiefte,,vertieft,,vertiefte,,vertief,vertiefe,,vertieft,,haben,,,,,,,approfondir
2290,zuwenden,wende zu,,wendest zu,,wendet zu,wendete zu,wandte zu,zugewendet,zugewandt,wendete zu,,wend zu,wende zu,,wendet zu,,haben,,,,,,,se tourner vers
2291,wegräumen,räume weg,,räumst weg,,räumt weg,räumte weg,,weggeräumt,,räumte weg,,räum weg,,,räumt weg,,haben,,,,,,,ranger
2292,wühlen,wühle,,wühlst,,wühlt,wühlte,,gewühlt,,wühlte,,wühle,,,wühlt,,haben,,,,,,,creuser
2293,argumentieren,argumentiere,,argumentierst,,argumentiert,argumentierte,,argumentiert,,argumentierte,,argumentiere,argumentier,,argumentiert,,haben,,,,,,,argumenter
2294,flachlegen,lege flach,,legst flach,,legt flach,legte flach,,flachgelegt,,legte flach,,leg flach,,,legt flach,,haben,,,,,,,s'envoyer en l'air
2295,überschreiben,überschreibe,,überschreibst,,überschreibt,überschrieb,,überschrieben,,überschriebe,,überschreib,überschreibe,,überschreibt,,haben,,,,,,,écraser
2296,fahnden,fahnde,,fahndest,,fahndet,fahndete,,gefahndet,,fahndete,,fahnd,fahnde,,fahndet,,haben,,,,,,,recherche
2297,rülpsen,rülpse,,rülpst,,rülpst,rülpste,,gerülpst,,rülpste,,rülpse,,,rülpst,,haben,,,,,,,rot
2298,entsichern,entsichere,,entsicherst,,entsichert,entsicherte,,entsichert,,entsicherte,,entsichere,,,entsichert,,haben,,,,,,,ouvrir
2299,pokern,pokere,,pokerst,,pokert,pokerte,,gepokert,,pokerte,,pokere,,,pokert,,haben,,,,,,,jouer au poker
2300,hinterlegen,hinterlege,,hinterlegst,,hinterlegt,hinterlegte,,hinterlegt,,hinterlegte,,hinterlege,,,hinterlegt,,haben,,,,,,,dépôt
2301,verbeugen,verbeuge,,verbeugst,,verbeugt,verbeugte,,verbeugt,,verbeugte,,verbeug,verbeuge,,verbeugt,,haben,,,,,,,s'incliner
2302,auswirken,wirke aus,,wirkst aus,,wirkt aus,wirkte aus,,ausgewirkt,,wirkte aus,,wirk aus,wirke aus,,wirkt aus,,haben,,,,,,,impact
2303,guttun,tue gut,,tust gut,,tut gut,tat gut,,gutgetan,,täte gut,,tu gut,tue gut,,tut gut,,haben,,,,,,,réussir
2304,entsenden,entsende,,entsendest,,entsendet,entsendete,entsandte,entsendet,entsandt,entsendete,,entsende,entsend,,entsendet,,haben,,,,,,,envoyer
2305,aussperren,sperre aus,,sperrst aus,,sperrt aus,sperrte aus,,ausgesperrt,,sperrte aus,,sperr aus,sperre aus,,sperrt aus,,haben,,,,,,,lock-out
2306,verleiten,verleite,,verleitest,,verleitet,verleitete,,verleitet,,verleitete,,verleit,verleite,,verleitet,,haben,,,,,,,tenter
2307,erwählen,erwähle,,erwählst,,erwählt,erwählte,,erwählt,,erwählte,,erwähl,erwähle,,erwählt,,haben,,,,,,,choisir
2308,mobilisieren,mobilisiere,,mobilisierst,,mobilisiert,mobilisierte,,mobilisiert,,mobilisierte,,mobilisiere,mobilisier,,mobilisiert,,haben,,,,,,,mobiliser
2309,missachten,missachte,,missachtest,,missachtet,missachtete,,missachtet,,missachtete,,missachte,,,missachtet,,haben,,,,,,,mépris
2310,widerlegen,widerlege,,widerlegst,,widerlegt,widerlegte,,widerlegt,,widerlegte,,widerlege,,,widerlegt,,haben,,,,,,,réfuter
2311,lallen,lalle,,lallst,,lallt,lallte,,gelallt,,lallte,,lall,lalle,,lallt,,haben,,,,,,,liaison
2312,röcheln,röchle,,röchelst,,röchelt,röchelte,,geröchelt,,röchelte,,röchle,,,röchelt,,haben,,,,,,,respiration sifflante
2313,kohlen,kohle,,kohlst,,kohlt,kohlte,,gekohlt,,kohlte,,kohl,kohle,,kohlt,,haben,,,,,,,charbon
2314,rüsten,rüste,,rüstest,,rüstet,rüstete,,gerüstet,,rüstete,,rüste,,,rüstet,,haben,,,,,,,équiper
2315,erstechen,ersteche,,erstichst,,ersticht,erstach,,erstochen,,erstäche,,erstich,,,erstecht,,haben,,,,,,,poignarder
2316,vorführen,führe vor,,führst vor,,führt vor,führte vor,,vorgeführt,,führte vor,,führ vor,führe vor,,führt vor,,haben,,,,,,,démontrer
2317,aufgreifen,greife auf,,greifst auf,,greift auf,griff auf,,aufgegriffen,,griffe auf,,greife auf,greif auf,,greift auf,,haben,,,,,,,ramasser
2318,vermerken,vermerke,,vermerkst,,vermerkt,vermerkte,,vermerkt,,vermerkte,,vermerk,vermerke,,vermerkt,,haben,,,,,,,note
2319,entladen,entlade,,entlädst,,entlädt,entlud,,entladen,,entlüde,,entlad,entlade,,entladet,,haben,,,,,,,déchargé
2320,vergöttern,vergöttere,,vergötterst,,vergöttert,vergötterte,,vergöttert,,vergötterte,,vergötter,vergöttere,,vergöttert,,haben,,,,,,,idolâtrer
2321,fluten,–,,–,,flutet,–,,geflutet,,–,,–,,,–,,sein,,,,,,,inondation
2322,tasten,taste,,tastest,,tastet,tastete,,getastet,,tastete,,tast,taste,,tastet,,haben,,,,,,,Clés
